Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Alluring Assassin,Android #18,60/80,1/10,SR to SSR,STR to Extreme STR,10/14,1023,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK""]",INT and STR Type ATK +25%,Infinity Bullet,Causes huge damage to enemy,Full Power,ATK +25% when HP is 50% or above,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Soul vs Soul Lv 1: Weakens enemy's Regeneration; Ki +1Lv 10: Weakens enemy's Regeneration; Ki +2 and ATK & DEF +5%"", ""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%""]","[""Peppy Gals"", ""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku"", ""Battle of Wits""]","[""1893"", ""5947""]","[""471"", ""6185""]","[""560"", ""3666""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power Unleashed,Android #16,60/80,1/10,SR to SSR,PHY to Extreme PHY,10/14,1024,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Lower DEF"", ""Raise HP"", ""Raise ATK""]",PHY Type HP and ATK + 20%,Rocket Punch,Causes huge damage to enemy,United We Stand,With a chance[1] to reduce enemy's DEF to 0,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Mechanical Menaces Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Gentleman Lv 1: Ki +2Lv 10: Ki +2 and DEF +10%""]","[""Androids"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Target: Goku"", ""Saviors""]","[""1664"", ""6827""]","[""1053"", ""5473""]","[""1098"", ""4361""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 2% chance to reduce enemy's DEF to 0 for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrets of the Turtle Style,Master Roshi,60/80,1/10,SR to SSR,STR to Super STR,10/14,1025,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki""]",STR Type Ki +2,Kamehameha,Causes huge damage to enemy,Master's Teachings,All allies' Ki +1 when HP is 50% or above,"[""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""World Tournament Champion Lv 1: Ki +1Lv 10: Ki +2 and DEF +10%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Supreme Warrior Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""The Students Lv 1: DEF +20%Lv 10: DEF +30%""]","[""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Battle of Wits"", ""Turtle School""]","[""1285"", ""5273""]","[""1181"", ""5998""]","[""698"", ""2720""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unrivaled Assassin,Mercenary Tao,60/80,1/10,SR to SSR,AGL to Extreme AGL,8/12,1026,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Stun""]",AGL Type Ki +2,Dodon Ray,Huge damage and rare chance to stun the enemy[1],Assassin's 20th Anniversary,Rare chance to stun all enemies[2],"[""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Supreme Warrior Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Siblings' Bond"", ""Target: Goku"", ""Earthlings"", ""Sworn Enemies""]","[""1161"", ""4946""]","[""1066"", ""5624""]","[""709"", ""2847""]","[""\u25ba 12 Ki Multiplier is 110%""]","[""\u2191 10% chance to stun the enemy for 2 turns\n"", ""\u2191 4% chance to stun all enemies for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Steely Determination,Gohan (Kid),40/60,1/10,R to SR,INT to Super INT,6,1027,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Stun""]",INT Type ATK +15%,Masenko,Huge damage and rare chance to stun the enemy[1],Dormant Saiyan Power,ATK +1500 when HP is 30% or below,"[""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%""]","[""Hybrid Saiyans"", ""Goku's Family"", ""Youth"", ""Bond of Master and Disciple"", ""Saiyan Saga"", ""Bond of Parent and Child""]","[""1258"", ""5947""]","[""691"", ""3269""]","[""828"", ""3522""]","[""\u25ba 12 Ki Multiplier is 133%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 10% chance to stun the enemy for 2 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
From Hell and Back,Trunks (Teen),40/60,1/10,R to SR,AGL to Super AGL,5,1028,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Raise ATK""]",AGL Type Ki +1,Shining Slash,Causes huge damage to enemy,Enthusiasm,Ki +2 and ATK +500 for first attack only,"[""Blazing Battle Lv 1: Disables enemy's Rampage; ATK +15%Lv 10: Disables enemy's Rampage; ATK +20%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Messenger from the Future Lv 1: ATK +5%Lv 10: ATK +10%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Hybrid Saiyans"", ""Future Saga"", ""Time Travelers"", ""Vegeta's Family"", ""Androids/Cell Saga"", ""Bond of Master and Disciple"", ""Saviors"", ""Battle of Wits"", ""Entrusted Will""]","[""941"", ""4703""]","[""758"", ""3787""]","[""618"", ""2778""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Competitive Comrades,Krillin,40/60,1/10,R to SR,PHY to Super PHY,6,1029,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Lower DEF"", ""Raise ATK"", ""Raise DEF""]",PHY Type ATK +15%,Destructo-Disc,Causes huge damage to enemy and lowers DEF[1],Earthling's Pride,DEF +2000 when facing only 1 enemy,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Courage Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%"", ""High Compatibility Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Blazing Battle Lv 1: Disables enemy's Rampage; ATK +15%Lv 10: Disables enemy's Rampage; ATK +20%""]","[""Earthlings"", ""Battle of Wits"", ""Turtle School"", ""Bond of Friendship""]","[""858"", ""4085""]","[""651"", ""3172""]","[""891"", ""3974""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloof Warrior,Piccolo,40/60,1/10,R to SR,INT to Super INT,5,1030,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower DEF"", ""Raise HP"", ""Recovery""]",HP +15%,Special Beam Cannon,Causes huge damage to enemy and lowers DEF[1],Playing Dead,With a chance[2] to recover HP by 10%,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Demonic Ways Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Namekians Lv 1: Recovers 5% HPLv 10: Recovers 7% HP and ATK & DEF +7%"", ""Attack of the Clones Lv 1: Ki +1Lv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +5%""]","[""Namekians"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Battle of Wits"", ""Gifted Warriors""]","[""1143"", ""5949""]","[""627"", ""3136""]","[""700"", ""3188""]","[""\u25ba 12 Ki Multiplier is 123%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n"", ""\u2191 3% chance to recover 10% HP\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Unfaltering Spirit,Tien,40/60,1/10,R to SR,AGL to Super AGL,5,1031,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise HP"", ""Stun""]",HP +15%,Tri-Beam,Causes extreme damage to enemy,Restraint,Rare chance of stunning all enemies[1],"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telepathy Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Cold Judgment Lv 1: DEF +20%Lv 10: DEF +25%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%""]","[""Worthy Rivals"", ""Earthlings"", ""Bond of Friendship"", ""Saiyan Saga""]","[""774"", ""3960""]","[""702"", ""3615""]","[""653"", ""2763""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 2% chance of stunning all enemies for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Trickster,Chiaotzu,40/60,1/10,R to SR,TEQ to Super TEQ,6,1032,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Lower ATK"", ""Raise HP""]",HP +15%,Dodon Ray,Causes huge damage to enemy,Supernatural Power,Rare chance[1] of reducing all enemies' ATK by 15%,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telepathy Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Telekinesis Lv 1: All enemies' DEF -10%Lv 10: All enemies' DEF -20%"", ""Courage Lv 1: Ki +1Lv 10: Ki +2 and ATK +10%""]","[""Worthy Rivals"", ""Earthlings"", ""Bond of Friendship"", ""Saiyan Saga""]","[""826"", ""3933""]","[""661"", ""3220""]","[""673"", ""2938""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 2% chance of all enemies' ATK -15%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
The One and Only,Yamcha,40/60,1/10,R to SR,TEQ to Super TEQ,5,1033,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Lower DEF"", ""Raise ATK""]",TEQ Type ATK +15%,Wolf Fang Fist,Causes huge damage to enemy and lowers DEF[1],Somber Premonition,With a chance[2] that all enemies' DEF -50%,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Speedy Retribution Lv 1: ATK +10%Lv 10: ATK +15% and chance of evading enemy's attack (including Super Attack) +5%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%""]","[""Worthy Rivals"", ""Earthlings"", ""Turtle School"", ""Saiyan Saga""]","[""891"", ""4455""]","[""642"", ""3210""]","[""644"", ""2909""]","[""\u25ba 12 Ki Multiplier is 145%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Lowers enemy's DEF by 20% for 3 turns\n"", ""\u2191 5% chance to reduce enemies' DEF by 50% for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Menacing Alien Warrior,Raditz,40/60,1/10,R to SR,AGL to Extreme AGL,5,1034,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Damage Reduction"", ""Raise ATK""]",AGL Type ATK +15%,Double Sunday,Causes huge damage to enemy,Perfect Guard,Damage received -30% when guard is activated,"[""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%""]","[""Low-Class Warrior"", ""Pure Saiyans"", ""Goku's Family"", ""Terrifying Conquerors"", ""Space-Traveling Warriors"", ""Saiyan Saga""]","[""842"", ""4212""]","[""688"", ""3387""]","[""633"", ""2720""]","[""\u25ba 12 Ki Multiplier is 115%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devastating Destruction,Nappa,40/60,1/10,R to SR,PHY to Extreme PHY,6,1035,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK""]",PHY Type ATK +15%,Giant Storm,Causes huge damage to enemy,Super Power,Rare chance[1] of increasing ATK by 50%,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""New Lv 1: ATK +20%Lv 10: ATK +20% and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Berserker Lv 1: ATK +20% when HP is 50% or lessLv 10: ATK +30% when HP is 50% or less"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%""]","[""Pure Saiyans"", ""Terrifying Conquerors"", ""Space-Traveling Warriors"", ""Saiyan Saga""]","[""1104"", ""4994""]","[""699"", ""3304""]","[""740"", ""3122""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 2% chance of ATK +50%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Confident Grin,Zarbon,40/60,1/10,R to SR,PHY to Extreme PHY,5,1036,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Raise DEF""]",PHY Type DEF +20%,Elegant Blaster,Causes huge damage to enemy,Latent Power,ATK +1500 when Ki is 10 or more,"[""Metamorphosis Lv 1: Recovers 5% HPLv 10: Recovers 5% HP and ATK & DEF +10%"", ""Frieza's Army Lv 1: DEF +20%Lv 10: ATK +10% and DEF +20%"", ""Frieza's Minion Lv 1: ATK +20%Lv 10: ATK +20% and DEF +10%""]","[""Planet Namek Saga"", ""Transformation Boost"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Space-Traveling Warriors""]","[""978"", ""4890""]","[""660"", ""3298""]","[""709"", ""3232""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain's Merit,Captain Ginyu,40/60,1/10,R to SR,STR to Extreme STR,6,1037,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise HP"", ""Raise ATK""]",HP +15%,Milky Cannon,Causes huge damage to enemy,Teamwork,ATK +1000 for all allies when 3 attacks in a row,"[""The Ginyu Force Lv 1: ATK +25%Lv 10: ATK +25% and chance to perform a critical hit +5%"", ""Gentleman Lv 1: Ki +2Lv 10: Ki +2 and DEF +10%"", ""Respect Lv 1: ATK +15%Lv 10: ATK +20%"", ""Loyalty Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Signature Pose Lv 1: Ki +2Lv 10: Ki +3 and ATK +7%""]","[""Planet Namek Saga"", ""Ginyu Force"", ""Dragon Ball Seekers"", ""Terrifying Conquerors"", ""Special Pose"", ""Space-Traveling Warriors""]","[""1138"", ""5147""]","[""852"", ""3998""]","[""647"", ""2702""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold-blooded Vandalism,Android #19,40/60,1/10,R to SR,PHY to Extreme PHY,5,1038,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Damage Reduction"", ""Raise ATK""]",Damage received reduced by 10%,Eye Beam,Causes huge damage to enemy,Latent Power,ATK +1500 when Ki is 10 or more,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Tough as Nails Lv 1: DEF +15%Lv 10: DEF +20% and reduces damage received by 5%"", ""Loyalty Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Energy Absorption Lv 1: Ki +2Lv 10: Ki +3 and recovers 3% HP""]","[""Androids"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Target: Goku"", ""Power Absorption""]","[""896"", ""6136""]","[""631"", ""3857""]","[""786"", ""2976""]","[""\u25ba 12 Ki Multiplier is 140%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mad Scientist's Revenge,Dr. Gero,40/60,1/10,R to SR,TEQ to Extreme TEQ,5,1039,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK"", ""Recovery""]",TEQ Type ATK +15%,Photon Wave,Causes huge damage to enemy,Energy Absorption,Recover 10% of damage dealt as HP,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""RR Army Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Flee Lv 1: Ki +1 when HP is 30% or lessLv 10: Ki +2 and chance of evading enemy's attack (including Super Attack) +10% when HP is 50% or less"", ""Energy Absorption Lv 1: Ki +2Lv 10: Ki +3 and recovers 3% HP"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""Scientist Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%""]","[""Androids"", ""Androids/Cell Saga"", ""Terrifying Conquerors"", ""Target: Goku"", ""Revenge"", ""Battle of Wits"", ""Power Absorption""]","[""862"", ""4536""]","[""693"", ""3570""]","[""601"", ""2799""]","[""\u25ba 12 Ki Multiplier is 150%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escalating Threat,Android #17,40/60,1/10,R to SR,PHY to Extreme PHY,5,1040,30 Jan 2015,Prior to 30 Oct 2015,"[""Disable Guard"", ""Lower DEF""]",STR Type enemy DEF -30%,Full Power Energy Ball,Causes huge damage to enemy,Overwhelming Pressure,Disable enemy's guard[1],"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%""]","[""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku""]","[""958"", ""4788""]","[""612"", ""3061""]","[""827"", ""3821""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 30% chance to disable enemy's guard\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Fancy Footwork,Android #18,40/60,1/10,R to SR,AGL to Extreme AGL,5,1041,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Damage Reduction""]",Damage received reduced by 10%,Infinity Bullet,Causes huge damage to enemy,Perfect Guard,Damage reduced by 30% when guard is activated,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Twin Terrors Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of evading enemy's attack (including Super Attack) +5%"", ""The Innocents Lv 1: ATK +10%Lv 10: ATK +15%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Infinite Energy Lv 1: Ki +2Lv 10: Ki +2 and ATK, DEF & chance of performing a critical hit +5%""]","[""Peppy Gals"", ""Androids"", ""Siblings' Bond"", ""Androids/Cell Saga"", ""Target: Goku"", ""Battle of Wits""]","[""968"", ""4838""]","[""737"", ""3687""]","[""636"", ""2868""]","[""\u25ba 12 Ki Multiplier is 110%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature-loving Warrior,Android #16,40/60,1/10,R to SR,TEQ to Extreme TEQ,5,1042,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Immune to Negative Effects"", ""Raise DEF""]",TEQ Type DEF +20%,Rocket Punch,Causes huge damage to enemy,Perfect Form,Immune to negative effects,"[""Android Assault Lv 1: DEF +10%Lv 10: Ki +2 and DEF +20%"", ""Mechanical Menaces Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Gentleman Lv 1: Ki +2Lv 10: Ki +2 and DEF +10%""]","[""Androids"", ""Artificial Life Forms"", ""Androids/Cell Saga"", ""Target: Goku"", ""Saviors""]","[""1073"", ""5362""]","[""681"", ""3403""]","[""627"", ""2823""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mind-body Mastery,Master Roshi,60/80,1/10,SR to SSR,TEQ to Super TEQ,7/12,1043,6 Jul 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise ATK""]",TEQ Type ATK +25%,Kamehameha,Causes huge damage to enemy,God of Martial Arts,ATK +1200 at start of turn,"[""World Tournament Champion Lv 1: Ki +1Lv 10: Ki +2 and DEF +10%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Respect Lv 1: ATK +15%Lv 10: ATK +20%"", ""The Students Lv 1: DEF +20%Lv 10: DEF +30%""]","[""DB Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Earthlings"", ""Battle of Wits"", ""Turtle School""]","[""1345"", ""5486""]","[""1124"", ""5513""]","[""658"", ""2456""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Weapon,Mercenary Tao,40/60,1/10,R to SR,INT to Extreme INT,6,1044,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost Type"", ""Raise Ki"", ""Stun""]",INT Type Ki +1,Dodon Ray,Huge damage and rare chance to stun the enemy[1],Assassin's Pride,Ki +1 at start of turn,"[""Crane School Lv 1: ATK +15%Lv 10: ATK +20%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Coward Lv 1: Ki +1Lv 10: Ki +2 and chance of performing a critical hit +5%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Siblings' Bond"", ""Target: Goku"", ""Earthlings"", ""Sworn Enemies""]","[""1078"", ""5353""]","[""663"", ""3231""]","[""676"", ""2952""]","[""\u25ba 12 Ki Multiplier is 123%""]","[""\u2191 10% chance to stun the enemy for 2 turns\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Unquenchable Ambition,Machine Pilaf,40/60,1/10,R to SR,INT to Extreme INT,5,1045,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Raise HP"", ""Raise ATK""]",HP +15%,Double Buster,Causes huge damage to enemy,Pure Tenacity,ATK +1200 when Ki is 5 or more,"[""Mechanical Menaces Lv 1: Ki +1Lv 10: Ki +2 and reduces damage received by 5%"", ""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""Thirst for Conquest Lv 1: ATK +15%Lv 10: ATK & DEF +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%""]","[""Dragon Ball Seekers"", ""DB Saga"", ""Terrifying Conquerors""]","[""932"", ""4865""]","[""671"", ""3355""]","[""572"", ""2550""]","[""\u25ba 12 Ki Multiplier is 128%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exquisite Technique,Shen,40/60,1/10,R to SR,INT to Super INT,5,1046,30 Jan 2015,Prior to 30 Oct 2015,"[""Boost All"", ""Damage Reduction"", ""Final Blow"", ""Raise ATK""]",Damage received reduced by 10%,Evil Containment Wave,Causes huge damage to enemy,Barrage,Deliver the final blow for ATK +25% in the next attack,"[""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Gentleman Lv 1: Ki +2Lv 10: Ki +2 and DEF +10%"", ""Strength in Unity Lv 1: Ki +1Lv 10: Ki +2 and recovers 3% HP""]","[""World Tournament"", ""Realm of Gods"", ""Final Trump Card""]","[""815"", ""4279""]","[""602"", ""3007""]","[""704"", ""3205""]","[""\u25ba 12 Ki Multiplier is 118%""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
